ID,Deadline,Category,Letter description,Interview description,Description_ES,Help,Help_ES,Sanitary Code Section
appliance_general_maintenance,30 Days,General Maintenance,,Appliances are not properly maintained,Los electrodomésticos no están adecuadamente mantenidos,"Any landlord-installed equipment, including dishwashers, washing machines, dryers, refrigerators, and garbage disposals, must be installed correctly and kept free of leaks, blocks, and other defects.","Cualquier equipo instalado por el dueño, incluidos os lavavajillas, lavadoras, secadoras, refrigeradores y trituradores de basura, debe instalarse correctamente y mantenerse libre de fugas, bloqueos y otros defectos.",410.351 (B)
bathroom_4ft_walls_porous,30 Days,Bathroom,,Walls are not waterproof and do not have smooth material up to 4 feet,Las paredes no son impermeables y no tienen material liso que llegue hasta 4 pies medidos desde abajo,"Walls must be nonabsorbent, waterproof, and smooth material up to 4 feet.","Las paredes deben ser de material no absorbente, impermeable y liso hasta 4 pies medidos desde abajo.",410.504(B) and (C)
bathroom_6ft_walls_porous,30 Days,Bathroom,,Walls above bathtubs with showers do not have a waterproof covering up to at least 6 feet,Las paredes de las bañeras con duchas no tienen una cubierta impermeable que llegue hasta 6 pies medidos desde abajo,"Walls above bathtubs with showers or shower stalls must have nonabsorbent, waterproof covering up to at least 6 feet.",Las paredes de las bañeras con duchas o cuartos de ducha deben tener una cubierta no absorbente e impermeable que llegue hasta 6 pies medidos desde abajo.,410.504(B) and (C)
bathroom_no_door,30 Days,Bathroom,,Shower stalls do not have waterproof covering up to at least 6 feet,"Los cuartos de ducha no tienen una cubierta impermeable que llegue hasta, al menos, 6 pies medidos desde abajo","Walls above bathtubs with showers or shower stalls must have nonabsorbent, waterproof covering up to at least 6 feet.",Las paredes de las bañeras con duchas o cuartos de ducha deben tener una cubierta no absorbente e impermeable que llegue hasta 6 pies medidos desde abajo.,410.504(B) and (C)
bathroom_rough_floor,30 Days,Bathroom,,Floor is not smooth or waterproof,El piso no es liso ni impermeable,"Floor must be smooth, nonabsorbent, and have a waterproof covering.","El piso debe ser liso, no absorbente y tener una cubierta impermeable.",410.504(A)
broken_appliance,30 Days,Kitchen,,At least one of the appliances that the landlord installed is not working,Al menos uno de los electrodomésticos que instaló el dueño no funciona,"All sinks, landlord-installed refrigerators and stoves, and gas- and oil-burning equipment must be in good working condition.","Todos los fregaderos, refrigeradores y estufas instalados por el dueño, y equipos de combustión de gas y aceite deben funcionar bien.",410.351
broken_bathroom_sink,5 days,Bathroom,,Bathroom sink is not working,El lavabo del baño no funciona,There must be a sink in the bathroom in good working condition.,Debe haber un lavabo en el baño que funcione bien.,410.150(A)(2) and (3)
broken_sewage,24 hours,Bathroom,,Sewage disposal system is not working,El sistema de eliminación de aguas residuales no funciona,There must be a working sewage disposal system.,Debe haber un sistema de eliminación de aguas residuales que funcione.,410.3
broken_toilet,24 hours,Bathroom,,No working toilet,El inodoro no funciona,There must be a working toilet.,Debe haber un inodoro que funcione.,"410.150(A)(1), 300"
broken_tub,5 days,Bathroom,,Tub or shower is not working,La bañera o la ducha no funciona,There must be a tub or shower in the bathroom in good working condition.,Debe haber una bañera o ducha en el baño que funcione bien.,
ceiling_bedroom,30 Days,Bedroom,,Ceiling has holes or cracks and is not weathertight,El cielo raso tiene orificios o grietas y no es impermeable,"Celing must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","El cielo raso debe ser impermeable, estar libre de humedad crónica y ser a prueba de insectos o roedores. No puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
ceiling_living_room,30 Days,Living area,,Ceiling has holes or cracks and is not weathertight,El cielo raso tiene orificios o grietas y no es impermeable,"Celing must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","El cielo raso debe ser impermeable, estar libre de humedad crónica y ser a prueba de insectos o roedores. No puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
ceiling_structural,30 Days,Bathroom,,Ceiling has holes or cracks and is not weathertight,El cielo raso tiene orificios o grietas y no es impermeable,"Celing must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","El cielo raso debe ser impermeable, estar libre de humedad crónica y ser a prueba de insectos o roedores. No puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
ceiling_structural,30 Days,Kitchen,,Ceiling has holes or cracks and is not weathertight,El cielo raso tiene orificios o grietas y no es impermeable,"Celing must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","El cielo raso debe ser impermeable, estar libre de humedad crónica y ser a prueba de insectos o roedores. No puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
chimney_structural,30 Days,Building Structure,,Chimney has holes or cracks and is not weathertight,La chimenea tiene orificios o grietas y no es impermeable,"Chimney must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","La chimenea debe ser impermeable, estar libre de humedad crónica y ser a prueba de insectos o roedores. No puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
co_smoke_not_maintained,30 Days,Safety,,Smoke or carbon monoxide detectors not maintained,No se da mantenimiento a los detectores de humo o monóxido de carbono,The landlord must install and keep smoke detectors and carbon monoxide alarms in good working order in most buildings. Ask the Fire Marshall if you have questions.,"El dueño debe instalar y mantener los detectores de humo y alarmas de monóxido de carbono en buenas condiciones de funcionamiento en la mayoría de los edificios. Si tiene preguntas, hable con el Jefe de bomberos.",410.482 527 C.M.R. 31.00 and 32.00
common_area_not_sanitary,30 Days,General Maintenance,,Landlord does not keep common areas clean,El dueño no mantiene limpias las áreas comunes,The landlord must keep common areas clean and sanitary.,El dueño debe mantener las áreas comunes limpias e higiénicas.,410.602(D) 410.481
dampness_bedroom,30 Days,Bedroom,,Chronic dampness or mold,Humedad crónica o moho,"Chronic Dampness means the regular and/or periodic appearance of moisture, water, mold or fungi.","Humedad crónica significa la aparición regular y / o periódica de humedad, agua, moho u hongos.",
dampness_living_room,30 Days,Living area,,Chronic dampness or mold,Humedad crónica o moho,"Chronic Dampness means the regular and/or periodic appearance of moisture, water, mold or fungi.","Humedad crónica significa la aparición regular y / o periódica de humedad, agua, moho u hongos.",
dampness_water,30 Days,Water,,Chronic dampness or mold,Humedad crónica o moho,"Chronic Dampness means the regular and/or periodic appearance of moisture, water, mold or fungi.","Humedad crónica significa la aparición regular y / o periódica de humedad, agua, moho u hongos.",
danger_foundation,24 hours,Building Structure,,Dangerous problem with foundation,Hay un problema peligroso con los cimientos,"There cannot be any foundation defects that may expose you to fire, burns, shock, accident, or other danger.","No puede haber ningún defecto en los cimientos que pueda exponerlo a usted a incendios, quemaduras, descargas eléctricas, accidentes u otros peligros.",410.5
danger_roof,24 hours,Building Structure,,Dangerous problem with roof,Hay un problema peligroso con el techo,"There cannot be any roof defects that may expose you to fire, burns, shock, accident, or other danger.","No puede haber ningún defecto en el techo que pueda exponerlo a usted a incendios, quemaduras, descargas eléctricas, accidentes u otros peligros.",410.5
door_does_not_open,30 Days,Building Structure,,Doors do not open easily or fully,Las puertas no se abren fácil o totalmente,Doors must also open fully and easily.,"Asimismo, las puertas se deben abrir completa y fácilmente.","410.500, 501"
door_structural,30 Days,Building Structure,,Doors are not weathertight,Las puertas no son impermeables,Doors must have good weather stripping or storm window or storm door. All glass panes must be unbroken and caulked correctly.,"Las puertas deben tener un burlete, contraventanas o contrapuertas que funcionen adecuadamente. Todos los paneles de vidrio deben estar intactos y sellados correctamente.","410.500, 501"
drain_general_maintenance,30 Days,General Maintenance,,Drains and vents are not properly maintained,Los desagües y las rejillas de ventilación no están adecuadamente mantenidos,"The landlord must install correctly and keep free of leaks, blocks, and other defects all catch basins, vents, drains, and other similar fixtures.","El dueño debe instalar correctamente y mantener libres de fugas, bloques y otros defectos todos los sumideros, conductos de ventilación, desagües y otros accesorios similares.",410.351(A)
electric_general_maintenance,30 Days,General Maintenance,,Electrical wiring and fixtures are not properly maintained,El cableado y los accesorios eléctricos no están adecuadamente mantenidos,"The landlord must install correctly and keep free of leaks, blocks, and other defects all electrical fixtures, outlets, and wiring.","El dueño debe instalar correctamente y mantener libres de fugas, bloqueos y otros defectos todos los accesorios eléctricos, enchufes y cableado.",410.351(A)
exits_blocked_snow,30 Days,Exits,,Exits are not clear of snow or ice,La nieve o el hielo no se despeja de las salidas,"The landlord must keep all exits safe, operable, and free of ice and snow. This includes exterior stairways and fire escapes. If you have an exit you do not share with anyone, you and your landlord can have a written agreement that says you must keep your exit free of snow and ice.","El dueño debe mantener todas las salidas seguras, operativas y libres de hielo y nieve. Esto incluye escaleras exteriores y salidas de emergencia. Si tiene una salida que no comparte con nadie, usted y su dueño pueden tener un acuerdo por escrito mediante el cual se establezca que usted es responsable de mantener su salida libre de nieve y hielo.",410.452
exits_not_marked,30 Days,Exits,,Primary and secondary exits are not marked with a lighted sign in a building over 10 units,Las salidas primaria y secundaria no están marcadas con un letrero iluminado en un edificio de más de 10 unidades,Buildings with 10 or more units must have lighted signs that show both a primary and a secondary means of exit. The signs must use symbols so that people do not need to speak English to find the exits.,Los edificios que tengan 10 o más unidades deben tener letreros iluminados que indiquen las salidas primaria y secundaria. Los letreros deben usar símbolos para que no sea necesario que las personas entiendan inglés para encontrar las salidas.,"G.L. c. 143, §21D"
exits_too_narrow,24 hours,Exits,,"Exits, common areas, or hallways are not wide enough or are blocked","Las salidas, las áreas comunes o los pasillos no son lo suficientemente anchos o están bloqueados","Obstruction of any exit, passageway, or common area through which you exit in an emergency.","Obstrucción de cualquier salida, pasillo o área común a través de la cual se deba salir en caso de emergencia.",410.45 780 C.M.R. 10.00
floor_bedroom,30 Days,Bedroom,,Floor has holes or cracks and is not weathertight,El piso tiene orificios o grietas y no es impermeable,"Floor must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","El piso debe ser impermeable, estar libre de humedad crónica y ser a prueba de insectos o roedores. No puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
floor_living_room,30 Days,Living area,,Floor has holes or cracks and is not weathertight,El piso tiene orificios o grietas y no es impermeable,"Floor must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","El piso debe ser impermeable, estar libre de humedad crónica y ser a prueba de insectos o roedores. No puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
foundation_structural,30 Days,Building Structure,,Foundation has holes or cracks and is not weathertight,Los cimientos tienen orificios o grietas y no son impermeables,"Foundation must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","Los cimientos deben ser impermeables, estar libres de humedad crónica, ser a prueba de insectos o roedores. No pueden tener orificios, grietas, yeso suelto ni otros defectos.",410.5
front_door_not_auto_locking,30 Days,Safety,,Front door does not lock automatically,La puerta de entrada no se traba automáticamente,There must be a main front door that closes and locks automatically. Every exterior door must have an operating lock.,Debe haber una puerta principal que se cierre y trabe automáticamente. Cada puerta exterior debe tener una cerradura que funcione bien.,410.480(C)
furnace_failure,30 Days,Heat,,Furnace or other heating equipment is broken or not working correctly,La caldera u otro equipo de calefacción está roto o no funciona correctamente,The landlord must provide and maintain heating equipment in good working order.,El dueño debe proporcionar y mantener el equipo de calefacción en buenas condiciones de funcionamiento.,410.351
garbage_in_common,24 hours,Garbage,,Common areas are not free of garbage,Las áreas comunes no están libres de basura,"Landlord must prevent accumulation of garbage or filth that may provide food or shelter for rodents, insects, or other pests; or that may contribute to accidents or disease.","El dueño debe prevenir la acumulación de basura o suciedad que pueda proporcionar alimento o refugio a roedores, insectos u otras plagas; o que pueda contribuir a accidentes o enfermedades.","410.600, 601, 602"
gas_not_maintained,30 Days,General Maintenance,,Gas pipes are not properly maintained,Las tuberías de gas no están adecuadamente mantenidas,"The landlord must install all gas pipes correctly and keep free of leaks, blocks, and other defects.","El dueño debe instalar todas las tuberías de gas correctamente y mantenerlos libres de fugas, bloqueos y otros defectos.",410.351(A)
heat_general_maintenance,30 Days,General Maintenance,,Water heating facilities and water pipes are not properly maintained,Las instalaciones de calentamiento de agua y las tuberías de agua no están adecuadamente mantenidas,"The landlord must install correctly and keep free of leaks, blocks, and other defects all water heating facilities, gas pipes, heating equipment, and water pipes.","El dueño debe instalar correctamente y mantener libres de fugas, bloqueos y otros defectos todos los equipos de calentamiento de agua, tuberías de gas, equipo de calefacción y tuberías de agua.",410.351(A)
heat_not_maintained,30 Days,General Maintenance,,Heating equipment is not properly maintained,El equipo de calefacción no está adecuadamente mantenido,"The landlord must install all heating equitment correctly and keep free of leaks, blocks, and other defects.","El dueño debe instalar todos los equipos de calefacción correctamente y mantenerlos libres de fugas, bloqueos y otros defectos.",410.351(A)
heat_not_working,24 hours,Heat,,Heat is not working (below 68 degrees F during the day or 64 at night) during winter,La calefacción no funciona (por debajo de 68 grados F durante el día o 64 por la noche) durante el invierno,"From September 16 to June 14, the landlord must provide equipment and appliances to heat every habitable room and bathrooms to at least: 68 degrees Fahrenheit between 7 a.m. and 11 p.m. and 64 degrees between 11 p.m. and 7 a.m.","Desde el 16 de septiembre hasta el 14 de junio, el dueño debe proporcionar equipos y electrodomésticos para calentar cada habitación y baños habitables a un mínimo de 68 grados Fahrenheit entre las 7 a. m. y las 11 p. m. y 64 grados entre las 11 p. m. y las 7 a. m.",410.201
heating_over_78,30 Days,Heat,,The heat goes over 78 F in the winter,La calefacción supera los 78 F en el invierno,The temperature must not be more than 78 degrees Fahrenheit at any time during the heating season.,La temperatura no debe superar los 78 grados Fahrenheit en ningún momento durante la temporada de calefacción.,410.201
hot_water_open_flame,30 Days,Water,,Hot water heater uses an open flame or is not vented correctly,El calentador de agua funciona con una llama abierta o no tiene ventilación adecuada,"A water heater must vent to a chimney or have a vent that leads outdoors. If the heater is electric, it does not need a vent. Old-fashioned, open-flame water heaters are illegal.",Un calentador de agua debe contar con ventilación que vaya a una chimenea o tener un respiradero que vaya al exterior. El calentador no necesita ventilación si es eléctrico. Los calentadores de agua antiguos de llama abierta son ilegales.,410.202
inadequate_ventilation,30 Days,Bathroom,,Indequate ventilation,La ventilación no es adecuada,Bathroom must have adequate ventilation.,El baño debe tener una ventilación adecuada.,410.28
insects_mice_in_building,30 Days,Rodents and insects,,Insects or mice somewhere in the building,Hay insectos o ratones en algún lugar del edificio,"No rats, roaches, mice, bedbugs, or other insects are allowed in the apartment or building. The landlord must exterminate them when they are found in common areas or in any individual apartment in buildings with two or more units.","No puede haber ratas, cucarachas, ratones, chinches ni otros insectos en el apartamento o edificio. Cuando se encuentren en áreas comunes o en cualquier departamento individual en edificios que tengan dos o más unidades, el dueño debe exterminarlos.",410.55
insufficient_amperage,30 Days,Electricity and Gas,,Electrical service is not enough to cover tenant's reasonable needs,El servicio eléctrico no es suficiente para abastecer las necesidades razonables del inquilino,Electrical service must provide enough amperage to meet your reasonable needs.,El servicio eléctrico debe abastecer suficiente amperaje para que satisfaga sus necesidades razonables.,410.255
insufficient_emergency_light,30 Days,Lighting,,No emergency lights in a building over 10 units,No hay luces de emergencia en un edificio de más de 10 unidades,Buildings with 10 or more units must have an emergency lighting system in halls and at exits.,Los edificios que tengan 10 o más unidades deben tener un sistema de iluminación de emergencia en los pasillos y en las salidas.,410.483
insufficient_hallway_light,30 Days,Lighting,,Hallways are not safely lit 24 hours a day,Los pasillos no tienen buena iluminación las 24 horas del día,Landlord must provide enough lighting for 24 hours a day in hallways.,El dueño debe proporcionar suficiente iluminación durante las 24 horas del día en los pasillos.,410.254(A)
insufficient_light,30 Days,Ventilation and Light,,Not enough natural light from windows in a room other than bathroom or kitchen,No entra suficiente luz natural por las ventanas de una habitación que no sea el baño o la cocina,Each room must have transparent or translucent glass that admits light from the outdoors. The glass must be equal in area to at least 8% of the floor area of that room. This does not apply to a bathroom or a kitchen smaller than 70 square feet.,Cada habitación debe tener un vidrio transparente o translúcido que admita la luz del exterior. La superficie del vidrio debe ser igual que al menos el 8 % de la superficie del piso de esa habitación. Esto no se aplica a un baño o una cocina que midan menos de 70 pies cuadrados.,"410.250(A), 410.251, 410.257"
insufficient_outlets,24 hours,Electricity and Gas,,There are not enough outlets or light switches for reasonable use of common areas in the building,No hay suficientes enchufes o interruptores de luz para un uso razonable de las áreas comunes del edificio,"The owner shall provide and so locate electric light switches and fixtures in good working order so that illumination may be provided for the safe and reasonable use of every laundry, pantry, foyer, hallway, stairway, closet, storage place, cellar, porch, exterior stairway and passageway. The owner shall provide working incandescent light bulbs or fluorescent tubes in all required light fixtures in all common areas of any dwelling.","El dueño debe facilitar y ubicar los interruptores de luz eléctrica y accesorios en buenas condiciones de funcionamiento para que se pueda proporcionar iluminación para el uso seguro y razonable de cada cuarto de lavandería, despensa, vestíbulo, pasillo, escalera, armario, lugar de almacenamiento, sótano, porche, escalera y pasillo exterior. El dueño deberá proporcionar bombillas incandescentes o tubos fluorescentes que funcionen en todos los accesorios de iluminación que sean requeridos en todas las áreas comunes de cualquier vivienda.",410.253
insufficient_outlets_per_room,24 hours,Electricity and Gas,,There are not at least 2 outlets or one outlet and one light fixture in every habitable room,No hay al menos 2 enchufes o un enchufe y una luz en cada habitación habitable,"In every room other than the kitchen and bathroom, your landlord must provide: 2 separate electrical wall outlets, or electric light fixture and 1 wall outlet.","En todas las habitaciones que no sean la cocina y el baño, el dueño debe proporcionar: 2 enchufes eléctricos de pared que estén separados, o una lámpara eléctrica y 1 enchufe de pared.",410.250(B)
insufficient_passageway_light,30 Days,Lighting,,Interior passageways are not safely lit 24 hours a day,Los pasillos interiores no tienen buena iluminación las 24 horas del día,Landlord must provide enough lighting for 24 hours a day in interior passageways.,El dueño debe proporcionar suficiente iluminación durante las 24 horas del día en los pasillos interiores.,410.254(A)
insufficient_space_bedroom,30 Days,Bedroom,,"There is not at least 50 feet of space in each bedroom for each person who lives there, plus 20 feet","No hay al menos 50 pies de espacio en cada habitación para cada persona que vive allí, más 20 pies","Every bedroom must have at least 70 square feet of floor space if only one person sleeps there. If more than one person is sleeping in the room, it must have 50 square feet of floor space for each person.","La superficie del piso de cada habitación debe ser de al menos 70 pies cuadrados para una sola persona. Si más de una persona duerme en la habitación, la superficie del piso debe ser de 50 pies cuadrados para cada persona.",410.400(B)
insufficient_space_unit,30 Days,Living area,,"The apartment does not have at least 100 square feet of space for each person who lives there, plus 50 feet","No hay al menos 100 pies cuadrados de espacio para cada persona que viva en el apartamento, más 50 pies",Every dwelling unit must have at least 150 square feet of floor space for the first occupant and 100 square feet for each additional occupant. Add up all the floor space in habitable rooms to get the number of square feet in your unit.,"Cada unidad de vivienda debe tener al menos 150 pies cuadrados de espacio para el primer ocupante y 100 pies cuadrados para cada ocupante adicional. Para obtener la cantidad de pies cuadrados en su unidad, sume todo el espacio de la superficie del piso en las habitaciones habitables.",410.400(A)
insufficient_stairway_light,30 Days,Lighting,,Stairways are not safely lit 24 hours a day,Las escaleras no tienen buena iluminación las 24 horas del día,Landlord must provide enough lighting for 24 hours a day in stairways.,El dueño debe proporcionar suficiente iluminación durante las 24 horas del día en las escaleras.,410.254(A)
insufficient_water,30 Days,Water,,Not enough water or water pressure,No hay suficiente agua o presión de agua,"Landlord must provide enough water, with adequate pressure, to meet your ordinary needs.","El dueño debe proporcionar suficiente agua, que tenga la presión adecuada, de forma que pueda satisfacer sus necesidades cotidianas.",410.18
insufficient_windows,30 Days,Ventilation and Light,,Not enough windows or doors that open or other ventilation in a room,No hay suficientes ventanas o puertas que se abran u otra ventilación en una habitación,"Every room must have windows, skylights, doors, or transoms in the outside wall or roof that open easily to at least 4% of the floor area of that room; or haveadequate mechanical ventilation systems.","Cada habitación debe tener ventanas, tragaluces, puertas o travesaños en la pared exterior o en el techo que se abran fácilmente como mínimo a un 4 % del área del piso de esa habitación, o debe tener un sistema de ventilación mecánica adecuado.",410.28
kitchen_carpet_not_waterproof,30 Days,Kitchen,,Carpet does not have a waterproof backing,La parte de atrás de la alfombra no es impermeable,Carpets on floors must have a nonabsorbent and water-repellent backing.,La parte de atrás de la alfombra debe ser no absorbente y repelente al agua.,410.504
kitchen_floor_not_waterproof,30 Days,Kitchen,,"Floors are not smooth, waterproof, or finished with a protective coating (such as unfinished concrete)","Los pisos no son lisos, impermeables ni están acabados con una capa protectora (como concreto sin acabado)","Floors must be smooth, non-corrosive, and waterproof.","Los pisos deben ser lisos, no corrosivos e impermeables.",410.504
kitchen_floor_wooden_cracks,30 Days,Kitchen,,Wooden floors do not have a water-resistant finish or have cracks,Los pisos de madera no tienen un acabado resistente al agua o tienen grietas,Wooden floors must have a water-resistant finish and no cracks.,El acabado de los pisos de madera debe ser resistente al agua y estar libre de grietas.,410.504
kitchen_needs_2_outlets,30 Days,Kitchen,,Fewer than two wall outlets,Hay menos de dos enchufes en la pared,Landlord must provide at least two wall outlets.,El dueño debe proporcionar al menos dos enchufes de pared.,410.251
kitchen_no_refrigerator_space,30 Days,Kitchen,,No space and proper electrical outlet to install a refrigerator,No hay espacio ni un enchufe adecuado para instalar un refrigerador,Kitchen must have space and proper electrical outlet to install a refrigerator.,La cocina debe tener un espacio y un enchufe adecuados para instalar un refrigerador.,410.100(A)(3)
kitchen_sink_small,5 days,Kitchen,,Kitchen sink is not working or too small,El fregadero de la cocina no funciona o es demasiado pequeño,"Sink must be large enough to wash dishes, get hot
 and cold water, and have proper drainage.","El fregadero debe ser lo suficientemente grande como para lavar los platos, suministrar agua caliente
  y fría, y tienen un drenaje adecuado.",410.1
kitchen_sink_smaller_than_dishes,30 Days,Kitchen,,Sink is not large enough to wash dishes,El fregadero no es lo suficientemente grande como para lavar los platos,Sink must be large enough to wash dishes.,El fregadero debe ser lo suficientemente grande como para lavar los platos.,"410.100(A)(1), 410.350(A)"
landlord_not_collecting_garbage,30 Days,Garbage,,Landlord does not collect or dispose of garbage,El dueño no recolecta ni desecha la basura,"In buildings with 3 or more units, the landlord is responsible for collecting and disposing of garbage.","En edificios que tengan 3 o más unidades, el dueño es responsable de recolectar y desechar la basura.",410.601
landlord_not_paying_heat,30 Days,Heat,,Landlord does not provide and pay for heat and there is no written agreement that says tenant must pay it,El dueño no proporciona ni paga la calefacción y no hay un acuerdo escrito que indique que el inquilino debe pagarla,The landlord must provide and pay for heat unless you signed a written agreement that says you must pay for heat.,El dueño debe proporcionar y pagar la calefacción a menos que usted haya firmado un acuerdo por escrito que diga que debe pagar la calefacción.,410.201
lead_paint_5_feet_from_floor,30 Days,Lead paint,,Lead paint is used on a surface less than 5 feet from the floor and a child under 6 lives in the apartment,Hay pintura con plomo en una superficie a menos de 5 pies del piso y un niño menor de 6 años vive en el apartamento,"If you have a child under the age of 6, your landlord must remove or properly cover lead paint up to 5 feet from the floor. Repainting with a non-lead paint is not good enough. It is illegal to refuse to rent or to evict a household because of lead paint.","Si usted tiene un niño menor de 6 años, el dueño debe quitar o cubrir adecuadamente la pintura con plomo por lo menos 5 pies hacia arriba, medidos desde el piso. Volver a pintar con pintura sin plomo no es suficiente. Es ilegal negarse a alquilar o desalojar un hogar debido a la pintura con plomo.","G.L. c. 111, §197"
lead_paint_anywhere,30 Days,Lead paint,,Lead paint is used on any surface in the building (regardless of children),Las superficies del edificio tienen pintura con plomo (independientemente de los niños),No lead paint may be used on any surface.,No se puede usar pintura con plomo en ninguna superficie.,410.502
lead_paint_child,24 hours,Lead paint,,Lead paint on surfaces that can be reached by a child under the age of 6,Hay pintura con plomo en las superficies que un niño menor de 6 años podría alcanzar,"If you have a child under the age of 6, your landlord must
 remove or properly cover lead paint up to 5 feet from the
 floor. Repainting with a non-lead paint is not good enough.","Si usted tiene un niño menor de 6 años, el dueño debe
  quitar o cubrir adecuadamente la pintura con plomo por lo menos 5 pies hacia arriba,
  medidos desde el piso. Volver a pintar con pintura sin plomo no es suficiente.","105 C.M.R 460, G.L. c. 111, §190-199"
light_bedroom,30 Days,Bedroom,,Not enough natural light from windows,No entra suficiente luz natural por las ventanas,Each room must have transparent or translucent glass that admits light from the outdoors. The glass must be equal in area to at least 8% of the floor area of that room. This does not apply to a bathroom or a kitchen smaller than 70 square feet.,Cada habitación debe tener un vidrio transparente o translúcido que admita la luz del exterior. La superficie del vidrio debe ser igual que al menos el 8 % de la superficie del piso de esa habitación. Esto no se aplica a un baño o una cocina que midan menos de 70 pies cuadrados.,"410.250(A), 410.251, 410.257"
light_living_room,30 Days,Living area,,Not enough natural light from windows,No entra suficiente luz natural por las ventanas,Each room must have transparent or translucent glass that admits light from the outdoors. The glass must be equal in area to at least 8% of the floor area of that room. This does not apply to a bathroom or a kitchen smaller than 70 square feet.,Cada habitación debe tener un vidrio transparente o translúcido que admita la luz del exterior. La superficie del vidrio debe ser igual que al menos el 8 % de la superficie del piso de esa habitación. Esto no se aplica a un baño o una cocina que midan menos de 70 pies cuadrados.,"410.250(A), 410.251, 410.257"
locks_missing_building,24 hours,Safety,,Locks are missing or not secure for the building,Faltan cerraduras o no son seguras para el edificio,No or inadequate locks for entry doors for the building.,"No hay cerraduras o, si las hay, son inadecuadas para las puertas de entrada del edificio.",410.480(D)
